Acronym,Name,Location,Submission deadline,Start date,Topics
XAI-Ed 2025,"Pedagogy-Founded Explainable AI for Transparent, User-Centered AI in Education","Palermo, Italy","May 31, 2025","Jul 22, 2025","['explainable ai (xai)', 'education', 'artificial intelligence in education']"
IWaM4STD,Integrated Water Management for Sustainable Tourism Development,"Tirana, Albania","Apr 30, 2025","May 28, 2025","['water management', 'sustainable tourism', 'circular economy', 'pollution detection & removal']"
CMC2025,X Congreso Internacional y XIX Congreso Mexicano de Catálisis,"Poza Rica, Veracruz, Mexico","May 2, 2025","Oct 19, 2025","['caracterización', 'catálisis heterógenea', 'fotocatálisis', 'cinética']"
IRRET-2025,5th International Conference On Innovative Research In Renewable Energy Technologies,"Malda, India","Feb 20, 2025","Mar 23, 2025","['physical properties of functional film', 'physical processes in thin films', 'condensed matter physics.', 'nano material science.']"
